danceability,energy,speechiness,acousticness,instrumentalness,valence,track_id,playlist_id
0.614,0.543,0.374,0.00776,3.28e-05,0.485,1AHfovSnGPVYKaahRtA0U6,4NvVpXZLIZ4z5yzTIqgLve
0.678,0.794,0.14,0.274,1.68e-06,0.54,7G3lxTsMfSx4yarMkfgnTC,4NvVpXZLIZ4z5yzTIqgLve
0.702,0.832,0.318,0.02,2.8e-06,0.619,6DPrhGVJ1WTZvM9fKptnGe,4NvVpXZLIZ4z5yzTIqgLve
0.801,0.908,0.221,0.00253,0.000655,0.805,3ssX20QT5c3nA9wk78V1LQ,4NvVpXZLIZ4z5yzTIqgLve
0.873,0.719,0.248,0.03,0.0,0.858,2xTft6GEZeTyWNpdX94rkf,4NvVpXZLIZ4z5yzTIqgLve
0.763,0.786,0.229,0.0146,0.0114,0.504,33ZXjLCpiINn8eQIDYEPTD,4NvVpXZLIZ4z5yzTIqgLve
0.813,0.703,0.268,0.125,1.26e-06,0.241,7N1Vjtzr1lmmCW9iasQ8YO,4NvVpXZLIZ4z5yzTIqgLve
0.875,0.658,0.359,0.275,0.0,0.661,1RjU7UhRICmdFPKxCucLgq,4NvVpXZLIZ4z5yzTIqgLve
0.782,0.597,0.335,0.0568,0.0,0.528,61VlApj8p2ZaP0WTunTrKT,4NvVpXZLIZ4z5yzTIqgLve
0.741,0.681,0.279,0.326,0.0,0.54,0SH9NjrlAWiXiKb4Zdf82R,4NvVpXZLIZ4z5yzTIqgLve
0.807,0.723,0.309,0.666,0.0,0.45,41yp9kKKxK6gMvMSaRyLnm,4NvVpXZLIZ4z5yzTIqgLve
0.922,0.573,0.277,0.131,0.0,0.66,2ujbOwvdiH020TO5EucGiX,4NvVpXZLIZ4z5yzTIqgLve
0.889,0.816,0.247,0.472,0.0,0.777,3xX9hoGEq1EuMGWZl8LQL1,4NvVpXZLIZ4z5yzTIqgLve
0.466,0.652,0.451,0.221,0.000487,0.494,5zEsT4MYVJjza6jv4P9UCU,4NvVpXZLIZ4z5yzTIqgLve
0.711,0.62,0.212,0.0175,0.0,0.805,6JI5wNWYdBw68GZjOMmgK5,4NvVpXZLIZ4z5yzTIqgLve
0.773,0.63,0.432,0.142,1.92e-06,0.677,2TE1FOBGJ0h7xxIFUjppmd,4NvVpXZLIZ4z5yzTIqgLve
0.838,0.486,0.326,0.0407,0.0,0.831,4AKRYDror3CkKVc7QscUng,4NvVpXZLIZ4z5yzTIqgLve
0.484,0.94,0.345,0.0238,0.0,0.459,3Wn26Ar9ekw7bgutqHeJoB,4NvVpXZLIZ4z5yzTIqgLve
0.844,0.459,0.364,0.418,0.00816,0.394,5LZ4d69L4TK8hVyh2q7YEJ,4NvVpXZLIZ4z5yzTIqgLve
0.718,0.79,0.35,0.088,0.0,0.891,1TgR3dcwd4dMXORUU4GTxD,4NvVpXZLIZ4z5yzTIqgLve
0.661,0.905,0.166,0.0919,0.0,0.425,22EbvbXnPwpF9lQtdJG61C,4NvVpXZLIZ4z5yzTIqgLve
0.67,0.884,0.235,0.112,0.0,0.643,4IGCJDDDEImKxhA19zxEAf,4NvVpXZLIZ4z5yzTIqgLve
0.879,0.564,0.247,0.0474,9.43e-06,0.523,5PQmSHzWnlgG4EBuIqjac2,4NvVpXZLIZ4z5yzTIqgLve
0.645,0.77,0.109,0.382,0.0,0.862,6giQ3XGlFtRNZghVo5NhhI,4NvVpXZLIZ4z5yzTIqgLve
0.753,0.592,0.316,0.0305,0.0,0.592,2FHegLBE9mgPc22xjEJSrz,4NvVpXZLIZ4z5yzTIqgLve
0.818,0.611,0.376,0.244,0.0,0.83,2eFYHNOcwEsDa4z1bca6W5,4NvVpXZLIZ4z5yzTIqgLve
0.733,0.841,0.306,0.123,0.0,0.733,1IDTYpJ9s2IYdMj5xKVqww,4NvVpXZLIZ4z5yzTIqgLve
0.701,0.673,0.321,0.42,0.0,0.818,3fSiyPmx9gfPj7LoiFK4AO,4NvVpXZLIZ4z5yzTIqgLve
0.6,0.706,0.361,0.209,0.0,0.58,4IYKjN1DrYzxKXt0umJqsG,4NvVpXZLIZ4z5yzTIqgLve
0.825,0.578,0.348,0.208,0.00829,0.709,6TTP1ZA9yGsPxEh3tssyQ0,4NvVpXZLIZ4z5yzTIqgLve
0.713,0.668,0.298,0.293,4.03e-06,0.832,2hTqZyXjM09nDYhX5srMpi,4NvVpXZLIZ4z5yzTIqgLve
0.678,0.83,0.3,0.0713,0.0,0.884,6OE9S6XF0U1lNfeaUNSjYl,4NvVpXZLIZ4z5yzTIqgLve
0.771,0.812,0.322,0.194,0.0,0.666,25ZnLelhEKRwcsP7ycTEgb,4NvVpXZLIZ4z5yzTIqgLve
0.816,0.594,0.306,0.107,0.0,0.852,4XifYC1TlOvfjzEZBTnBG1,4NvVpXZLIZ4z5yzTIqgLve
0.48,0.573,0.385,0.0545,2.05e-06,0.756,7FyuOzN1V1Whhyh46tPiWZ,4NvVpXZLIZ4z5yzTIqgLve
0.457,0.594,0.268,0.113,0.0,0.913,7voZQZ7kTffkLj6Mun4PJ7,4NvVpXZLIZ4z5yzTIqgLve
0.672,0.919,0.326,0.0136,6.62e-05,0.834,6peawBI7JmRynDydPqRk6v,4NvVpXZLIZ4z5yzTIqgLve
0.622,0.592,0.335,0.0535,0.0,0.89,1Zonfgke599Z9UMCVK6peB,4NvVpXZLIZ4z5yzTIqgLve
0.755,0.824,0.196,0.624,0.0,0.593,3S44Z7MhQ3TKIQA1Iz5jJc,4NvVpXZLIZ4z5yzTIqgLve
0.78,0.738,0.335,0.23,0.0,0.838,1Mo74KiCcZbBZq7liClDjo,4NvVpXZLIZ4z5yzTIqgLve
0.745,0.838,0.0914,0.0155,0.0,0.676,3ZakoFH7r0K9PZssJfe7hz,4NvVpXZLIZ4z5yzTIqgLve
0.607,0.854,0.43,0.0146,0.0,0.779,1k9wDbLFz8yg0o2lRtFV7H,4NvVpXZLIZ4z5yzTIqgLve
0.689,0.653,0.177,0.0338,0.0,0.4,5rDb1GUnqHZ7QM54lmoTOp,4NvVpXZLIZ4z5yzTIqgLve
0.928,0.455,0.0723,0.42,4.68e-05,0.733,4oxOGrHTfkfFIlJVvlcfpq,4NvVpXZLIZ4z5yzTIqgLve
0.548,0.829,0.285,0.339,0.0,0.452,5jNrszQHRIVKmS9Ptb63pe,4NvVpXZLIZ4z5yzTIqgLve
0.6,0.716,0.409,0.0204,1.8e-06,0.678,03aza8ha2oaHLgB4hvdsyo,4NvVpXZLIZ4z5yzTIqgLve
0.838,0.722,0.257,0.0133,0.0,0.468,1gIa5W0AhvgfKgCu2RNR8C,4NvVpXZLIZ4z5yzTIqgLve
0.735,0.481,0.37,0.11,0.0,0.687,3M2z1oFj0nefPClNfsuR4G,4NvVpXZLIZ4z5yzTIqgLve
0.688,0.731,0.186,0.037,0.0,0.395,2UtMTtPZFHUrFoyUapcTHa,4NvVpXZLIZ4z5yzTIqgLve
0.686,0.978,0.272,0.323,8.47e-05,0.451,3l2IMlPaDNMyRDMZPeROJV,4NvVpXZLIZ4z5yzTIqgLve
0.846,0.824,0.178,0.524,2.04e-06,0.882,1dlD3NDEvVrkqvhjHVOsdg,4NvVpXZLIZ4z5yzTIqgLve
0.875,0.527,0.187,0.104,0.0,0.281,4S4w9cBe2mH9dODjhGQmZF,4NvVpXZLIZ4z5yzTIqgLve
0.48,0.863,0.321,0.0509,0.0,0.257,64rAX8x9bDnFXn09weheMv,4NvVpXZLIZ4z5yzTIqgLve
0.693,0.797,0.363,0.11,0.0,0.524,7moqx837SQTcftFWuuk4ES,4NvVpXZLIZ4z5yzTIqgLve
0.715,0.468,0.147,0.0994,0.0,0.673,3Ch2BcNf0MyuBnifUBS4aS,4NvVpXZLIZ4z5yzTIqgLve
0.451,0.731,0.206,0.00353,0.0,0.805,1i0T57EX9pO1sxD5KJisel,4NvVpXZLIZ4z5yzTIqgLve
0.603,0.869,0.324,0.0802,0.0,0.812,671ibiKFcabvyU7dfUiHra,4NvVpXZLIZ4z5yzTIqgLve
0.611,0.791,0.279,0.182,0.0,0.937,3JBIl8N0A36m0zXB431RQQ,4NvVpXZLIZ4z5yzTIqgLve
0.439,0.828,0.406,0.161,0.000101,0.718,54l2MUa2uFO5SImvnC0CZP,4NvVpXZLIZ4z5yzTIqgLve
0.443,0.859,0.279,0.0313,0.0,0.504,4cRi6l4Qppp0P3ELWbaDi3,4NvVpXZLIZ4z5yzTIqgLve
0.735,0.867,0.352,0.0207,1.73e-06,0.79,4iyABGMl11IGQtuC22basc,4NvVpXZLIZ4z5yzTIqgLve
0.617,0.909,0.332,0.282,0.0,0.799,4PSWlNatjksGTY2rge9BuB,4NvVpXZLIZ4z5yzTIqgLve
0.643,0.844,0.311,0.206,0.0,0.561,2129eAnCSBJQeS5qclTCo3,4NvVpXZLIZ4z5yzTIqgLve
0.731,0.904,0.194,0.0335,0.000942,0.533,5mq1c1X8DPN3TklD2psdQg,4NvVpXZLIZ4z5yzTIqgLve
0.686,0.756,0.34,0.109,0.0,0.698,0XJ8AbFhOT9A15SAsBnlEm,4NvVpXZLIZ4z5yzTIqgLve
0.715,0.841,0.28,0.0574,0.0,0.84,7kYzKbCpE5kxxGujaJF7iK,4NvVpXZLIZ4z5yzTIqgLve
0.584,0.821,0.0705,0.117,3.1e-06,0.422,4yGHBbRDvGzlOtaEGe7T2D,4NvVpXZLIZ4z5yzTIqgLve
0.699,0.623,0.305,0.091,3.49e-05,0.713,3AfXub7VYFmHRnTuiHO0yU,4NvVpXZLIZ4z5yzTIqgLve
0.578,0.816,0.293,0.547,0.0,0.646,4VLFkGUUhb2VYcwPcxRGld,4NvVpXZLIZ4z5yzTIqgLve
0.877,0.74,0.271,0.0253,2.77e-06,0.754,30oTS7bm0aH3p7lqjEIu8q,4NvVpXZLIZ4z5yzTIqgLve
0.664,0.782,0.256,0.365,0.0,0.643,3ID1X1metf2o9UUBBZUI0b,4NvVpXZLIZ4z5yzTIqgLve
0.779,0.742,0.0412,0.151,0.00174,0.358,2y1EJOmGEgpUISuXmW8KOU,4NvVpXZLIZ4z5yzTIqgLve
0.775,0.583,0.256,0.358,0.0,0.698,2ky1zLODMPkEF6F9U1gxDu,4NvVpXZLIZ4z5yzTIqgLve
0.869,0.641,0.295,0.0614,0.0,0.675,7DUfRslsShR89XL0L5wFrb,4NvVpXZLIZ4z5yzTIqgLve
0.575,0.609,0.19,0.0839,8.46e-05,0.392,45f8NLNAthLQqji8lRVuOV,4NvVpXZLIZ4z5yzTIqgLve
0.587,0.653,0.358,0.256,0.0,0.117,3iwt15Ynm0cYicIGQ9hAr0,4NvVpXZLIZ4z5yzTIqgLve
0.714,0.659,0.307,0.688,7.86e-06,0.671,2av09FAN9J7IgxCQ6od4SF,4NvVpXZLIZ4z5yzTIqgLve
0.798,0.535,0.0575,0.244,0.0,0.448,2Sl9MfvZenYCe3VGpsJyaU,4NvVpXZLIZ4z5yzTIqgLve
0.587,0.698,0.0943,0.0152,0.0,0.0985,5h5tBFnbcVioFXiOixTn6E,4NvVpXZLIZ4z5yzTIqgLve
0.716,0.531,0.122,0.0703,0.0,0.344,0UtnpKaReKUg2GquaSxCyD,4NvVpXZLIZ4z5yzTIqgLve
0.826,0.571,0.064,0.0239,7.38e-06,0.666,311fWdp7RrvN4Fuz7sv6Ea,4NvVpXZLIZ4z5yzTIqgLve
0.451,0.831,0.307,0.0623,0.0,0.41,0PKJxo97zXT8oAwl2zFnPh,4NvVpXZLIZ4z5yzTIqgLve
0.629,0.457,0.329,0.00542,0.000411,0.167,5IU7KdAPXR3OjcRCAVt0oQ,4NvVpXZLIZ4z5yzTIqgLve
0.483,0.662,0.541,0.136,0.0,0.664,2b8L0IhNoIE5AOi5b6x5SS,4NvVpXZLIZ4z5yzTIqgLve
0.487,0.729,0.271,0.0538,4.07e-06,0.217,0nfQguNoAfKFjsQHr6qnxc,4NvVpXZLIZ4z5yzTIqgLve
0.802,0.867,0.378,0.135,4.33e-06,0.635,0iF0cIPoYBKDBLvDHMQY9g,4NvVpXZLIZ4z5yzTIqgLve
0.403,0.742,0.338,0.0498,0.0,0.717,3a18OXXahgIhzzmKw9e7Kx,4NvVpXZLIZ4z5yzTIqgLve
0.782,0.735,0.302,0.236,0.0,0.77,22A7fEEDKylnuU1RiJs59a,4NvVpXZLIZ4z5yzTIqgLve
0.867,0.817,0.168,0.12,3.63e-05,0.641,4eMaumx1FLBJf1Mfyl2CEX,4NvVpXZLIZ4z5yzTIqgLve
0.504,0.856,0.172,0.0989,0.0,0.859,0UyAiS4kOnVfRgsOBih8oz,4NvVpXZLIZ4z5yzTIqgLve
0.859,0.703,0.266,0.177,0.0,0.557,59PfUuCjzj7KwQxGIndkvv,4NvVpXZLIZ4z5yzTIqgLve
0.75,0.756,0.175,0.000387,0.0587,0.424,66rHzKOw9JPXJIAfbWat6w,4NvVpXZLIZ4z5yzTIqgLve
0.753,0.749,0.316,0.0285,0.0,0.832,32W1K50AaXGXoRBn3Zyax4,4NvVpXZLIZ4z5yzTIqgLve
0.917,0.484,0.368,0.0115,0.0,0.841,6oMH2YBQ4dyPx8CaSRvqt7,4NvVpXZLIZ4z5yzTIqgLve
0.637,0.603,0.364,0.0246,0.0,0.675,2Wrisf5A274cxLFa1u3fmI,4NvVpXZLIZ4z5yzTIqgLve
0.492,0.716,0.321,0.00828,0.0,0.878,2eK3hXbKG2uhn9XNsgTHqM,4NvVpXZLIZ4z5yzTIqgLve
0.843,0.435,0.178,0.47,0.0,0.19,6GnhWMhgJb7uyiiPEiEkDA,4NvVpXZLIZ4z5yzTIqgLve
